pub_sourceid,sourcetitle,AJSC_Codes
24813,Experimental Dermatology,1312
21100236604,Neurology: Clinical Practice,2728
21100228519,JAMA Neurology,2728
24030,Respiratory Physiology and Neurobiology,2740
14277,Health Psychology,3202
14258,BMC Neurology,2728
70201,Clinical Neuropsychologist,1201
30021,Journal of Pediatric Psychology,3204
12464,Nature Reviews Cancer,1306
21100316001,Journal of Biomedical Semantics,2718
23881,Journal of Invasive Cardiology,2705
130050,Ocular Surface,2731
20028,American Journal of Neuroradiology,2728
11400153331,Mucosal Immunology,2723
21100373947,Journal of Behavioral Addictions,3203
22072,Current Gene Therapy,3002
22307,HIV Medicine,2719
4400151609,Journal of Cardiovascular Medicine,2705
20474,Prostate,2748
21100215102,Psychodynamic Psychiatry,2738
11800154595,International Journal of Qualitative Studies on Health and Well-being,2908
4700152612,Current Nanoscience,2701
22416,American Journal of Cardiovascular Drugs,2736
20888,Virus Research,2406
29163,International Journal of Aging and Human Development,3204
26662,Pancreatology,2721
17957,Computers in Biology and Medicine,1706
14500154714,International Journal of Urological Nursing,2901
110112,Journal of Immunotherapy,2403
25417,British Journal of Diabetes and Vascular Disease,2705
29166,Cells Tissues Organs,2702
27472,Annals of Anatomy,1309
14800,Sexual Addiction and Compulsivity,2738
16800154743,Academic Pediatrics,2735
27479,Annals of Family Medicine,2714
23752,Hypertension Research,2705
26613,Administration and Policy in Mental Health and Mental Health Services Research,2738
17656,Journal of the American Academy of Psychiatry and the Law,2738
14990,Current Neuropharmacology,3004
12100155401,Forensic Science International: Genetics Supplement Series,1311
27058,American Journal of Epidemiology,2713
25453,Biology of Blood and Marrow Transplantation,2720
19561,American Journal of Public Health,2739
19700201523,European Journal of Nanomedicine,2204
28366,Gut,2715
25907,Clinical Advances in Hematology and Oncology,2720
4700152872,Journal of NeuroImmune Pharmacology,2801
15576,European Neuropsychopharmacology,2803
22299,Therapeutic Drug Monitoring,2736
40637,Zeitschrift fur Gerontologie und Geriatrie,2910
20997,Canadian Journal of Surgery,2746
16101,Human Brain Mapping,2728
21100456160,Clinical Epidemiology and Global Health,2713
24959,Skinmed,2708
25523,Diabetes/Metabolism Research and Reviews,1310
14737,International Journal of Artificial Organs,2701
21100203104,African Journal of Primary Health Care and Family Medicine,2714
6000195391,International Journal of Laboratory Hematology,1308
144977,Homicide Studies,2734
4100151702,Vascular Health and Risk Management,2720
40173,Asian Pacific Journal of Cancer Prevention,2713
16901,Biological Trace Element Research,1604
29097,Cancer Chemotherapy and Pharmacology,3005
14736,Revue Francaise de Psychanalyse,3203
17492,Neuroendocrinology Letters,2700
29803,Research Quarterly for Exercise and Sport,2727
28796,Cancer Causes and Control,2730
15756,Pediatrics,2735
13068,Spine,2732
18429,Chest,2740
3500148010,Current HIV/AIDS Reports,2725
22258,Bioethics,1211
30014,Journal of Motor Behavior,3205
31458,Acupuncture in Medicine,2728
13150,Wound Repair and Regeneration,2746
26071,Seminars in Hematology,2720
19700188148,Footwear Science,1304
14320,Brain and Development,2728
21100243808,Asian Journal of Transfusion Science,2720
21721,Journal of Refractive Surgery,2731
5700191208,Journal of Clinical Lipidology,2712
34441,BMC Complementary and Alternative Medicine,2707
21100255413,OncoImmunology,2730
21100403234,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",2738
16687,European Radiology,2741
20482,Annali Italiani di Chirurgia,2746
25949,Experimental Hematology,1311
15402,Journal of Child Psychology and Psychiatry and Allied Disciplines,3204
12400154713,Geospatial health,3306
27997,Public Health Nutrition,2701
21100433120,Microbiology spectrum,2725
20500195020,Gut Pathogens,2725
20046,Reproductive Health Matters,2729
23326,American Journal of Physiology - Lung Cellular and Molecular Physiology,1307
17300154707,BMC Medical Genomics,1311
21100401153,Antimicrobial Resistance and Infection Control,2726
18200156702,World Mycotoxin Journal,1106
21100787508,Journal of Global Health,2739
18745,Psychoneuroendocrinology,2807
26781,Bone Marrow Transplantation,2720
21304,African Journal of AIDS Research,2406
26155,Journal of Oral Pathology and Medicine,1306
28752,Brachytherapy,2741
21100232417,"G3: Genes, Genomes, Genetics",1311
20086,Statistics in Medicine,2713
23462,Journal of Mammary Gland Biology and Neoplasia,1306
19644,Technology and Health Care,1502
29820,Histopathology,2722
25467,"Blood Cells, Molecules, and Diseases",1307
94948,World Journal of Biological Psychiatry,2738
19015,Metabolic Brain Disease,1303
14566,American Journal of Speech-Language Pathology,3204
4000148707,Explore: The Journal of Science and Healing,2707
130099,Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering,1607
20516,PACE - Pacing and Clinical Electrophysiology,2705
19700175116,Frontiers in Neuroanatomy,2804
74271,Operative Orthopadie und Traumatologie,2732
59557,Malawi Medical Journal,2700
15963,Journal of Medical Humanities,2719
23607,Computerized Medical Imaging and Graphics,1704
21100337102,Sexual Medicine Reviews,2748
14000156196,International Journal of Sports Physiology and Performance,2732
4000148017,Journal of Bioethical Inquiry,3306
19900191908,Innovations in Clinical Neuroscience,2728
23053,Journal of Natural Products,2707
4700152610,Current Diabetes Reviews,1310
17700156219,Gut and Liver,2721
23063,Circulation Research,1314
25584,Diabetologia,2724
13244,Evidence-Based Medicine,2700
29762,European Journal of Cancer Care,2730
4700152905,Journal of LGBT Issues in Counseling,2738
6600153204,Brain Structure and Function,2722
16102,Human Psychopharmacology,2808
4000148502,Rural and Remote Health,3604
28110,BMC Medical Research Methodology,2718
19500156817,International Health,3306
26411,European Addiction Research,3306
26172,Journal of Endocrinology,1310
21677,American Journal of Human Genetics,1311
18200156706,Rorschachiana,3203
21461,International Journal for Equity in Health,2719
15207,American Journal of Emergency Medicine,2711
13727,BMC Ophthalmology,2731
21312,Health Promotion International,2739
14993,Current Opinion in Neurology,2728
21725,Journal of Surgical Oncology,2746
18138,Sociology of Health and Illness,2739
14255,Autonomic Neuroscience: Basic and Clinical,2807
18622,Pulmonary Pharmacology and Therapeutics,2740
26157,Journal of Bone and Mineral Metabolism,2732
13077,Techniques in Orthopaedics,2732
21100247024,Advances in Dual Diagnosis,2738
4700152497,European Review of Aging and Physical Activity,2717
22911,Malaria Journal,2725
17369,Clinical Chemistry and Laboratory Medicine,2704
21100325142,Journal of Pharmaceutical Policy and Practice,3000
27825,American Journal of Gastroenterology,2721
15576,European Neuropsychopharmacology,2736
25913,Clinical Hemorheology and Microcirculation,2705
6200180178,International Journal of COPD,2739
20795,Human Immunology,2403
29542,Journal of Anatomy,1307
27085,American Journal of Surgical Pathology,2746
17293,Molecular Imaging and Biology,1306
22815,Oral Diseases,2733
5300152517,International Journal on Disability and Human Development,2717
21100469670,Antibiotics,2725
17639,Alzheimer Disease and Associated Disorders,2909
14839,Bioelectromagnetics,2741
27473,Annals of Behavioral Medicine,2738
12261,Journal of Pediatric Orthopaedics Part B,2732
15108,Journal of Paediatrics and Child Health,2735
500147006,Child and Adolescent Mental Health,2738
12412,Topics in Geriatric Rehabilitation,2742
14200154738,Cancer Microenvironment,1306
4000148901,Congenital Heart Disease,2735
4700152707,American Journal of Psychiatric Rehabilitation,2742
21100370880,Therapeutic hypothermia and temperature management,2706
14111,Klinicka Biochemie a Metabolismus,2712
13744,JARO - Journal of the Association for Research in Otolaryngology,2733
22424,Journal of the American Society of Echocardiography,2741
25214,Toxicologic Pathology,3005
40637,Zeitschrift fur Gerontologie und Geriatrie,3306
23063,Circulation Research,2705
24030,Respiratory Physiology and Neurobiology,2800
29882,Journal of Child Sexual Abuse,3203
5700191215,Infectious Agents and Cancer,2725
23774,International Journal of Cardiology,2705
19383,Fluoride - Quarterly Reports,2307
23164,School Psychology International,3204
4400151514,Globalization and Health,2739
29301,Clinical Anatomy,2722
29542,Journal of Anatomy,1105
17700155034,Natural Product Communications,1110
29199,Industrial Health,2307
19900193573,Hong Kong Journal of Radiology,2741
16317,Clinical Rehabilitation,3612
21100370010,Endoscopic Ultrasound,2715
17832,Medical Humanities,2734
19228,Restorative Neurology and Neuroscience,2806
16808,Journal of Psychiatric Practice,2738
15054,Injury Prevention,2739
4000148707,Explore: The Journal of Science and Healing,2603
4000151705,Journal of Burn Care and Research,2711
21100242616,Sleep Science,2701
19972,Journal of Endourology,2748
21764,AIDS Patient Care and STDs,2725
10300153344,Cardiovascular Journal of Africa,2705
22619,Revue d'Epidemiologie et de Sante Publique,2713
14111,Klinicka Biochemie a Metabolismus,1308
13065,Prostate Cancer and Prostatic Diseases,2730
7100153125,Simulation in Healthcare,2713
15300154803,Anatomical Record,2702
130036,Pediatric Critical Care Medicine,2706
24749,Addiction Biology,3004
21085,Dermatologic Surgery,2708
27592,Arthritis Research and Therapy,2723
14311,Otolaryngology - Head and Neck Surgery,2733
23185,European Journal of Cardio-thoracic Surgery,2746
15357,Journal of Adolescent Health,2738
21100467801,Tissue Barriers,2722
21100197941,International Journal for Parasitology: Drugs and Drug Resistance,2725
4400151701,Journal of Exposure Science and Environmental Epidemiology,2739
12663,Early Human Development,2735
24060,Journal of Radioanalytical and Nuclear Chemistry,2307
29541,BMC Musculoskeletal Disorders,2745
21844,Current Opinion in Infectious Diseases,2726
21100245727,Epidemiology Biostatistics and Public Health,2905
19700202609,Autoimmunity Highlights,2745
12261,Journal of Pediatric Orthopaedics Part B,2735
21908,Journal of School Health,3304
20106,CNS Drugs,2738
22575,Cardiovascular Toxicology,1312
17233,Journal of Radiation Research,2741
29763,European Journal of Cancer Prevention,2713
4000148707,Explore: The Journal of Science and Healing,3602
27466,Gynecologic and Obstetric Investigation,2743
20526,Pediatric Cardiology,2705
20490,Annals of Transplantation,2747
19700201335,Scandinavian Journal of Disability Research,2742
11400153309,Journal of Hematopathology,2720
20794,Human Antibodies,2723
21100384222,Egyptian Journal of Forensic Sciences,3306
20238,"Journal of Microbiology, Immunology and Infection",2400
6300153123,Advances in Medical Sciences,2700
26062,Endocrinology and Metabolism Clinics of North America,1310
29305,Clinical and Investigative Medicine,2700
17947,Neurologist,2728
19120,Journal of the American Mosquito Control Association,1105
15300154803,Anatomical Record,1105
21100297606,Arthritis and Rheumatology,2403
11700154733,Journal of Biomedical Nanotechnology,3003
12211,Journal of Bone and Mineral Research,2712
28010,Molecular Human Reproduction,2743
36099,Archives of Pathology and Laboratory Medicine,2734
18568,Journal of Histotechnology,3607
21100316001,Journal of Biomedical Semantics,1705
20901,Wilderness and Environmental Medicine,2732
18572,Parkinsonism and Related Disorders,2728
19700166805,Sexual and Reproductive Healthcare,2913
14892,International Journal of Mental Health,2739
24836,"Indian Journal of Dermatology, Venereology and Leprology",2708
21309,AIDS,2723
6400153136,BioPsychoSocial Medicine,3207
19307,Revue Neurologique,2728
58705,"Psychology, Health and Medicine",3202
26678,Pituitary,1310
21100268079,Journal of Cancer Policy,2730
15300154824,Nutrition and Metabolism,2916
19300156914,Revista Andaluza de Medicina del Deporte,2732
19637,"Crime, Law and Social Change",2734
21100205991,"Journal of Mental Health Training, Education and Practice",2738
15575,European Neurology,2728
19898,"European Urology, Supplements",2748
