"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"28033","AAC: Augmentative and Alternative Communication",2.36,8,"0.28","0.04","1.77","0.177",8,"0.28","0.04","1.77","0.264",3,5,1,0,2,"Rehabilitation"
"15185","Academic Emergency Medicine",2.32,38,"0.62","0.27","1.40","0.249",38,"0.62","0.27","1.40","0.229",12,21,13,2,6,"Emergency Medicine"
"16800154743","Academic Pediatrics",2.07,27,"1.38","0.59","3.21","0.455",27,"1.38","0.59","3.21","0.604",5,12,6,4,8,"Pediatrics, Perinatology, and Child Health"
"17539","Academic Psychiatry",0.75,14,"0.34","0.09","1.36","0.128",14,"0.34","0.09","1.36","0.075",2,11,11,5,8,"Psychiatry and Mental Health"
"20031","Academic Radiology",1.87,17,"0.41","0.10","1.67","0.213",17,"0.41","0.10","1.67","0.209",6,5,9,6,5,"Radiology Nuclear Medicine and Imaging"
"21397","Acta Anaesthesiologica Scandinavica",2.06,19,"0.20","0.02","1.66","0.135",19,"0.20","0.02","1.66","0.229",4,5,5,6,4,"Anesthesiology and Pain Medicine"
"32957","Acta Clinica Belgica",0.52,2,"9.00","0.56","143.89","0.120",2,"9.00","0.56","143.89","1.000",1,0,0,0,1,"Medicine (all)"
"18385","Acta Cytologica",1.17,5,"0.96","0.15","5.99","0.961",5,"0.96","0.15","5.99","0.285",0,1,1,1,2,"Histology; Pathology and Forensic Medicine"
"24213","Acta Dermato-Venereologica",1.59,6,"1.60","0.25","10.38","0.624",6,"1.60","0.25","10.38","0.374",1,0,4,1,1,"Dermatology"
"25387","Acta Diabetologica",2.93,9,"1.25","0.26","6.09","0.782",9,"1.25","0.26","6.09","0.929",1,3,3,2,3,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25419","Acta Haematologica",1.02,19,"1.19","0.40","3.50","0.757",19,"1.19","0.40","3.50","1.000",2,7,8,5,2,"Hematology"
"16756","Acta Histochemica",1.49,3,"2.00","0.12","33.86","0.631",3,"2.00","0.12","33.86","0.809",1,0,2,0,0,"Histology"
"20412","Acta Neurochirurgica",1.37,16,"0.57","0.06","5.81","0.636",16,"0.57","0.06","5.81","0.861",0,3,4,7,11,"Clinical Neurology; Surgery"
"17548","Acta Neurologica Scandinavica",2.45,7,"1.26","0.11","14.50","0.853",7,"1.26","0.11","14.50","0.618",6,0,0,1,1,"Clinical Neurology"
"17552","Acta Neuropathologica",9.36,40,"0.71","0.32","1.54","0.380",40,"0.71","0.32","1.54","0.452",10,12,10,5,9,"Clinical Neurology; Pathology and Forensic Medicine"
"21100367530","Acta neuropathologica communications",3.02,12,"0.48","0.10","2.40","0.371",12,"0.48","0.10","2.40","0.180",13,0,0,0,0,"Clinical Neurology; Pathology and Forensic Medicine"
"30056","Acta Obstetricia et Gynecologica Scandinavica",1.84,16,"0.81","0.28","2.33","0.701",16,"0.81","0.28","2.33","0.873",4,5,7,5,4,"Obstetrics and Gynecology"
"28668","Acta Oncologica",2.67,17,"1.21","0.37","4.00","0.754",17,"1.21","0.37","4.00","0.490",7,7,7,4,6,"Hematology; Oncology; Radiology Nuclear Medicine and Imaging"
"19700184600","Acta Ophthalmologica",2.26,8,"2.26","0.32","16.04","0.413",8,"2.26","0.32","16.04","0.449",1,2,2,3,0,"Ophthalmology"
"14410","Acta Paediatrica, International Journal of Paediatrics",1.21,91,"0.36","0.22","0.61","0.000",91,"0.36","0.22","0.61","0.000",14,12,14,41,34,"Pediatrics, Perinatology, and Child Health"
"17574","Acta Psychiatrica Scandinavica",3.43,49,"0.70","0.36","1.38","0.309",49,"0.70","0.36","1.38","0.642",21,11,16,14,6,"Psychiatry and Mental Health"
"20032","Acta Radiologica",1.54,4,"0.33","0.03","3.99","0.382",4,"0.33","0.03","3.99","0.314",1,3,0,0,1,"Radiology Nuclear Medicine and Imaging"
"19122","Acta Reumatologica Portuguesa",0.64,4,"1.71","0.19","14.94","0.629",4,"1.71","0.19","14.94","0.642",1,2,1,0,1,"Rheumatology"
"21288","Acta Tropica",2.36,11,"1.73","0.43","6.98","0.443",11,"1.73","0.43","6.98","0.180",11,4,0,0,0,"Infectious Diseases"
"31458","Acupuncture in Medicine",1.16,8,"0.28","0.05","1.43","0.125",8,"0.28","0.05","1.43","0.229",2,5,4,0,1,"Clinical Neurology; Complementary and Alternative Medicine"
"24745","Addiction",3.09,257,"0.60","0.45","0.80","0.000",257,"0.60","0.45","0.80","0.003",82,49,65,71,86,"Medicine (miscellaneous); Psychiatry and Mental Health"
"24749","Addiction Biology",4.25,4,"1.14","0.15","8.93","0.898",4,"1.14","0.15","8.93","0.814",2,0,1,0,1,"Medicine (miscellaneous); Psychiatry and Mental Health"
